date;tmin;tmax;prcp;snow;snwd;awnd
2017-01-09;9;31;0.0;0.0;1.2;2.46
2017-01-11;40;57;0.0;0.0;0.0;6.04
2017-01-19;36;63;0.0;0.0;0.0;1.34
2017-01-20;46;59;0.09;0.0;0.0;2.91
2017-01-24;41;63;0.0;0.0;0.0;6.04
2017-01-26;43;70;0.06;0.0;0.0;13.42
2017-01-30;30;46;0.0;0.0;0.0;6.26
2017-02-06;31;68;0.0;0.0;0.0;4.7
2017-02-10;26;51;0.0;0.0;0.0;6.71
2017-02-12;58;83;0.05;0.0;0.0;11.41
2017-02-16;32;53;0.0;0.0;0.0;6.71
2017-03-06;34;65;0.0;0.0;0.0;6.71
2017-03-13;26;42;0.56;0.0;0.0;8.28
2017-03-15;24;40;0.0;0.0;0.0;10.51
2017-03-17;23;58;0.03;0.0;0.0;4.92
2017-03-22;39;64;0.0;0.0;0.0;8.28
2017-03-23;31;56;0.0;0.0;0.0;7.38
2017-04-01;49;75;0.0;0.0;0.0;6.04
2017-04-02;49;69;0.0;0.0;0.0;6.04
2017-04-15;61;85;0.0;0.0;0.0;9.62
2017-04-16;60;82;0.0;0.0;0.0;12.75
2017-04-17;62;86;0.05;0.0;0.0;9.84
2017-04-20;56;85;0.0;0.0;0.0;5.82
2017-04-21;63;89;0.21;0.0;0.0;6.93
2017-05-01;68;85;0.29;0.0;0.0;15.66
2017-05-11;61;84;0.48;0.0;0.0;4.92
2017-05-12;54;61;0.07;0.0;0.0;7.61
2017-05-18;66;86;0.0;0.0;0.0;10.96
2017-05-26;59;81;0.0;0.0;0.0;7.83
2017-05-30;68;82;0.06;0.0;0.0;4.03
2017-06-03;57;88;0.0;0.0;0.0;3.36
2017-06-05;67;85;1.54;0.0;0.0;6.04
2017-06-11;67;90;0.0;0.0;0.0;6.26
2017-06-16;70;89;2.3;0.0;0.0;4.03
2017-06-18;74;91;0.17;0.0;0.0;8.72
2017-06-25;67;84;0.0;0.0;0.0;3.58
2017-06-28;57;83;0.0;0.0;0.0;4.25
2017-07-13;78;97;0.0;0.0;0.0;8.5
2017-07-14;77;97;0.0;0.0;0.0;9.4
2017-07-18;71;89;0.0;0.0;0.0;5.14
2017-07-28;75;94;0.21;0.0;0.0;7.61
2017-07-30;63;85;0.0;0.0;0.0;6.26
2017-08-18;75;98;0.01;0.0;0.0;7.38
2017-08-19;73;92;0.05;0.0;0.0;2.91
2017-08-20;71;95;0.0;0.0;0.0;3.58
2017-08-30;59;84;0.0;0.0;0.0;1.79
2017-09-01;64;78;1.06;0.0;0.0;7.83
2017-09-05;64;90;0.06;0.0;0.0;8.05
2017-09-06;61;82;0.52;0.0;0.0;4.92
2017-09-11;58;67;0.01;0.0;0.0;12.75
2017-09-28;63;94;0.0;0.0;0.0;3.13
2017-10-02;47;76;0.0;0.0;0.0;4.92
2017-10-06;55;86;0.0;0.0;0.0;2.91
2017-10-11;73;89;1.12;0.0;0.0;8.05
2017-10-12;65;77;0.0;0.0;0.0;8.28
2017-10-13;63;71;0.0;0.0;0.0;7.38
2017-10-14;62;78;0.0;0.0;0.0;3.13
2017-10-26;40;63;0.0;0.0;0.0;3.8
2017-10-29;41;68;0.78;0.0;0.0;7.61
2017-11-05;51;70;0.0;0.0;0.0;2.46
2017-11-18;33;67;0.0;0.0;0.0;11.41
2017-11-19;34;64;0.08;0.0;0.0;9.17
2017-11-20;28;57;0.0;0.0;0.0;2.01
2017-12-04;33;61;0.0;0.0;0.0;2.46
2017-12-14;30;57;0.0;0.0;0.0;7.38
2018-01-01;13;28;0.0;0.0;0.0;6.49
2018-01-07;4;30;0.0;0.0;0.0;2.68
2018-01-14;21;33;0.0;0.0;0.0;8.72
2018-01-19;19;49;0.0;0.0;3.9;3.58
2018-01-20;26;56;0.0;0.0;1.2;5.59
2018-01-23;47;70;0.83;0.0;0.0;15.66
2018-01-24;34;54;0.0;0.0;0.0;4.03
2018-01-27;31;67;0.0;0.0;0.0;6.26
2018-01-28;52;60;1.3;0.0;0.0;5.14
2018-02-07;44;65;0.21;0.0;0.0;8.5
2018-02-17;40;56;0.06;0.0;0.0;6.93
2018-03-02;41;55;0.0;0.0;0.0;14.99
2018-03-03;35;57;0.0;0.0;0.0;8.72
2018-03-12;32;38;0.92;1.4;0.0;7.16
